step,simulated_time_sec,dopamine_level,toxicity,control_signal_u,friction_delay_applied
0,9.617915021962284,1.0,0.6931887891933873,0.0,0.0
1,17.32082517125741,1.0,0.7510789937267874,0.309617848830513,0.0
2,32.48714312181534,1.0,0.5708793323958172,0.1662592242461427,0.0
3,43.070297303104,1.0,0.8275253896377335,0.26996380306971096,0.0
4,48.6604199903036,1.0,0.4188128643199628,0.1741622557622869,0.0
5,63.85328764467435,0.9043056815041778,0.7780145398476176,0.3407808344471697,0.8519520861179243
6,72.02925446234012,1.0,0.8013671998868078,0.248298625296387,0.0
7,77.49854790059733,1.0,0.23058642013147845,0.2877711972346744,0.0
8,145.22631561281668,1.0,0.5483456900226892,0.47684407828766806,1.1921101957191702
9,163.94271066686912,0.9043056815041778,0.628681528454442,0.579180359157412,1.4479508978935298
10,173.90709287993826,0.6687457539921505,0.7334759924884213,0.5019287686558236,1.254821921639559
11,203.04672427647196,0.49454613924203666,0.7827451067454684,0.43838289365958494,1.0959572341489623
12,258.1699527832642,1.0,0.9102230016987388,0.4028829790334156,1.0072074475835389
13,273.7299399704882,0.9043056815041778,0.6331663965242497,0.726337512882393,1.8158437822059825
14,304.80776588658847,0.6687457539921505,0.8586372933340096,0.5982768910143963,1.4956922275359907
15,346.1864729168311,0.8997147751840264,0.9209060011341549,0.5674694329405914,1.4186735823514784
16,369.70770245626767,1.0,0.8686855703903755,0.7030143847534889,1.7575359618837223
17,379.73456384403545,0.9043056815041778,0.7224070958042432,0.6452628464948478,1.6131571162371194
18,422.76447188810585,0.6687457539921505,0.8599379904222442,0.5421677099783917,1.3554192749459792
19,439.9180393017476,0.49454613924203666,0.8215171428760468,0.49778698814294475,1.244467470357362
20,466.3002956845821,1.0,0.8138916704136732,0.4531060461810093,1.1327651154525233
21,478.02592843968876,0.9043056815041778,0.809094461919873,0.5889467529508216,1.472366882377054
22,516.8974409765957,1.0,0.853120401523257,0.4927516206401019,1.231879051600255
23,523.4598814259928,1.0,0.7388694484365309,0.49933153575353884,0.0
24,530.9603243495485,1.0,0.47437614842480225,0.448431074742741,0.0
25,539.6186519876794,1.0,0.9440109196607398,0.5221527777497575,0.0
26,618.4176237029875,1.0,0.8343988642949446,0.5716290768147558,1.4290726920368897
27,634.0254954768227,0.9043056815041778,0.6909672569724795,0.6206837349719619,1.551709337429905
28,652.8253956314145,0.7648924391079062,0.9184307583751297,0.6510947607801617,1.6277369019504042
29,671.312397519421,0.7375982272903027,0.8644851897633695,0.6999726821158894,1.7499317052897234
30,693.5679096907253,0.5454634342582622,0.8509388728023809,0.7364667172432442,1.8411667931081106
31,703.8615629934006,0.4033772684159611,0.9102726162610542,0.7526235650126955,1.8815589125317387
32,717.1815485742355,0.29830271005422165,0.8852449498890811,0.6821132337949614,1.7052830844874034
33,750.0787914113539,0.6655573492610452,0.8933731952763424,0.5825786571420546,1.4564466428551364
34,766.3111740926411,0.9043056815041778,0.6559412105624989,0.7704064983422647,1.9260162458556618
35,785.0038095953435,0.6687457539921505,0.8374467040022103,0.7740210765499067,1.9350526913747668
36,798.1928242030374,0.6485859485444214,0.9197564346623281,0.7491119426270595,1.8727798565676488
37,831.3509093147563,1.0,0.9077609136497398,0.7338183158978677,1.8345457897446693
38,840.8052369737617,0.9043056815041778,0.8072697122872999,0.6917979421703184,1.729494855425796
39,871.1222503374422,1.0,0.8088750409724887,0.6262518823600219,1.5656297059000548
40,876.9101557237763,0.9043056815041778,0.7586936452655559,0.590487937561335,0.0
41,887.564210044683,1.0,0.9239193202606005,0.539793089920872,0.0
42,897.2844956619293,1.0,0.8722830466984007,0.5655242061755371,0.0
43,933.4080221668767,1.0,0.6815423753766896,0.6098379989299251,0.0
44,978.108893655933,1.0,0.9683972527144149,0.6789786656869145,1.697446664217286
45,994.7907562796039,0.9043056815041778,0.9258033937082943,0.7258746554328336,1.814686638582084
46,1013.9032854303132,0.6687457539921505,0.9714219669303179,0.753266333093343,1.8831658327333576
47,1029.3153873268682,0.49454613924203666,0.9294740071837979,0.7898428133721516,1.974607033430379
48,1037.7030182987805,0.3657232698363789,0.8606609937552203,0.7787740745121544,1.946935186280386
49,1049.0472426053561,0.2704570908283893,0.918944852269673,0.7262240797745257,1.8155601994363144
50,1125.7778017458315,0.5426836037430451,0.8937898783150706,0.6112045324670821,1.528011331167705
51,1137.5327611652165,0.9043056815041778,0.8321361468655757,0.8901389159905321,2.2253472899763302
52,1148.3545350340496,0.6687457539921505,0.909433878422357,0.8594257848519318,2.1485644621298294
53,1158.6636498377,0.49454613924203666,0.9601403455702991,0.8352200881140112,2.088050220285028
54,1174.9715575796445,0.4896243125846591,0.9505806206750613,0.8339291820152328,2.084822955038082
55,1183.3766089139147,0.5968636033458963,0.9611358358447664,0.8883131039184212,2.220782759796053
56,1217.832364516494,0.44138835862017,0.8194843740211931,0.827689381525428,2.06922345381357
57,1224.7469758722534,0.3264124031575485,0.9207778464873,0.7649471003383632,1.912367750845908
58,1240.096222734698,0.24138619620181623,0.910751468097615,0.6545041123135082,1.6362602807837705
59,1266.9830736871363,0.3289042567267841,0.9005164044406617,0.5279569948180466,1.3198924870451165
60,1284.9389846399363,0.5352735324001953,0.8477045924356206,0.5927092499622404,1.481773124905601
61,1305.937740356386,0.3958417041255277,0.847683861575947,0.5179164947950238,1.2947912369875594
62,1316.4225634616146,0.7194232924355974,0.9194387228093818,0.4577331747546566,1.1443329368866415
63,1335.4185876170854,1.0,0.9508012404060772,0.7282958137358604,1.8207395343396509
64,1345.5653033618994,0.9043056815041778,0.9174866193013014,0.7485756377199327,1.8714390942998318
65,1361.6765276212636,0.8033661816623485,0.856671956347197,0.6811595425329096,1.7028988563322738
66,1439.958239893494,0.8419742992324365,0.9017270765196654,0.6440644389495436,1.610161097373859
67,1474.7683728866004,1.0,0.9363189412677515,0.5948510784697146,1.4871276961742865
