step,simulated_time_sec,velocity_clicks_per_min,toxicity,expected_reward,rpe,dopamine_level,dopamine_baseline,tolerance,risk_index,control_signal_u,intervention_type,interaction_type,lambda_intensity,alpha1_effective,alpha2,decay_factor
0,9.617915021962284,623.8358299381041,0.6931887891933873,0.34917629811970297,0.8,1.0,0.2,0.34917629811970297,0.2079566367580162,0.0,none,click,6.146389807364687,0.47727551567735493,0.3,1.0
1,17.32082517125741,3894.6319531904724,0.7510789937267874,0.4705356363385328,0.650823701880297,1.0,0.2,0.4705356363385328,0.8256799171929237,0.309617848830513,none,click,1.1478133176503074,0.500431597490715,0.3,1.0
2,32.48714312181534,158.2453966627879,0.5708793323958172,0.47290581941771404,0.01271077568786072,1.0,0.2,0.47290581941771404,0.7719053117621251,0.1662592242461427,none,click,0.31056720707113505,0.4283517329583269,0.3,1.0
3,43.070297303104,850.4080962849697,0.8275253896377335,0.5711932676923436,0.527094180582286,1.0,0.2,0.5711932676923436,0.8494608444143502,0.26996380306971096,none,click,0.7170660117810487,0.5310101558550935,0.3,1.0
4,48.6604199903036,536.6608512670881,0.4188128643199628,0.6288199278036951,0.3090392285514979,1.0,0.2,0.6288199278036951,0.7272390554924001,0.1741622557622869,none,click,0.5912685564163265,0.3675251457279851,0.3,1.0
5,63.85328764467435,39.492215271643545,0.7780145398476176,0.5933071322458132,-0.1904473887903319,0.9043056815041778,0.2,0.5933071322458132,0.8352065997317039,0.3407808344471697,friction,click,0.30037005083929486,0.4814238244973023,0.3,0.9417416811132371
6,72.02925446234012,660.4723478490944,0.8013671998868078,0.6691433028498825,0.4066928677541868,1.0,0.2,0.6691433028498825,0.6864828610791166,0.248298625296387,none,click,3.172732156292321,0.5205468799547232,0.3,1.0
7,77.49854790059733,3510.5082981464734,0.23058642013147845,0.7308382744610903,0.33085669715011745,1.0,0.2,0.7308382744610903,0.6718436762047154,0.2877711972346744,none,click,3.034990541202492,0.2922345680525914,0.3,1.0
8,145.22631561281668,442.94978283460307,0.5483456900226892,0.7489299654931941,0.09702179909350817,1.0,0.2,0.7489299654931941,0.7673740235957177,0.47684407828766806,break,click,0.3000000000001074,0.31339900861542225,0.3,0.7473656151737491
9,163.94271066686912,192.34473249807456,0.628681528454442,0.7127251976162601,-0.1941582856433799,0.9043056815041778,0.2,0.7127251976162601,0.7939832109664369,0.579180359157412,break,click,0.3029380172431249,0.27141220772490043,0.3,0.6011709257272914
10,173.90709287993826,180.64341185539303,0.7334759924884213,0.6903146406511312,-0.1201829365528081,0.6687457539921505,0.2,0.6903146406511312,0.6698225145270893,0.5019287686558236,break,click,0.3517755665030621,0.3510622382140904,0.3,0.7115303426089701
11,203.04672427647196,41.181028808166246,0.7827451067454684,0.644169600470613,-0.24746580126818923,0.49454613924203666,0.2,0.644169600470613,0.5693921693093748,0.43838289365958494,friction,click,0.3000193792142717,0.41166377559500195,0.3,0.8023101655781394
12,258.1699527832642,522.4657695158636,0.9102230016987388,0.7105214276709241,0.355830399529387,1.0,0.2,0.7105214276709241,0.5232417810492402,0.4028829790334156,friction,click,0.30000000027470675,0.4811818125789948,0.3,0.8530243301934669
13,273.7299399704882,154.24177225355234,0.6331663965242497,0.6730155201699541,-0.20113601409185888,0.9043056815041778,0.2,0.6730155201699541,0.7995117690603587,0.726337512882393,break,click,0.31370683074900724,0.19083393585569944,0.3,0.4210192263930578
14,304.80776588658847,77.2254792365205,0.8586372933340096,0.64557360321841,-0.14716502445729873,0.6687457539921505,0.2,0.64557360321841,0.7114370984586776,0.5982768910143963,break,click,0.30001409369887005,0.3467459529422402,0.3,0.6380399585737626
15,346.1864729168311,261.0038054622284,0.9209060011341549,0.6718909415412833,0.14113415417645292,0.8997147751840264,0.2,0.6718909415412833,0.6156886107003009,0.5674694329405914,break,click,0.3000000928126117,0.36172255936761494,0.3,0.6364294314312331
16,369.70770245626767,255.08870571328688,0.8686855703903755,0.6870533558215297,0.08131272579551307,1.0,0.2,0.6870533558215297,0.8734273923362545,0.7030143847534889,break,click,0.30023956260938056,0.2582380047087672,0.3,0.4716897918254386
17,379.73456384403545,59.83926343411594,0.7224070958042432,0.6402398329005364,-0.25105072862676314,0.9043056815041778,0.2,0.6402398329005364,0.8304150066100235,0.6452628464948478,break,click,0.30198606301799424,0.29152186540989194,0.3,0.5962045426816149
18,422.76447188810585,153.38168962016846,0.8599379904222442,0.6367819774656198,-0.018543725664203814,0.6687457539921505,0.2,0.6367819774656198,0.7157534047656497,0.5421677099783917,break,click,0.3000000329368472,0.43387063007703874,0.3,0.7975926717480831
19,439.9180393017476,104.93444055074553,0.8215171428760468,0.6190942640077128,-0.09485535533916445,0.49454613924203666,0.2,0.6190942640077128,0.5902407201118137,0.49778698814294475,break,click,0.30372408329365913,0.4731023012459233,0.3,0.8949984186665568
20,466.3002956845821,409.3660467581149,0.8138916704136732,0.674953166543544,0.29955912964676734,1.0,0.2,0.674953166543544,0.5031153933313234,0.4531060461810093,break,click,0.30024653685101177,0.4703130578227209,0.3,0.8948855305450046
21,478.02592843968876,51.16994643540179,0.809094461919873,0.6364575696939359,-0.20644350253935523,0.9043056815041778,0.2,0.6364575696939359,0.859998719897613,0.5889467529508216,break,click,0.30143089140093693,0.38358654705900025,0.3,0.732541764970202
22,516.8974409765957,385.8867077981105,0.853120401523257,0.6872634768455169,0.27246101581533066,1.0,0.2,0.6872634768455169,0.7173485490069038,0.4927516206401019,break,click,0.3000002473271977,0.5371348361523988,0.3,0.992400298502126
23,523.4598814259928,548.5764065608771,0.7388694484365309,0.7455795728592826,0.3127365231544831,1.0,0.2,0.7455795728592826,0.8408051841967591,0.49933153575353884,break,click,3.972153494503992,0.49554777937461236,0.3,1.0
24,530.9603243495485,3999.763788053466,0.47437614842480225,0.7930214447178898,0.25442042714071744,1.0,0.2,0.7930214447178898,0.7617002475432181,0.448431074742741,none,click,1.3413689695274813,0.3897504593699209,0.3,1.0
25,539.6186519876794,1108.7591508690386,0.9440109196607398,0.8316168130518267,0.20697855528211018,1.0,0.2,0.8316168130518267,0.9028684730963533,0.5221527777497575,break,click,3.656487876966874,0.5776043678642959,0.3,1.0
26,618.4176237029875,380.71562797020596,0.8343988642949446,0.8430804808785357,0.06147715405840315,1.0,0.2,0.8430804808785357,0.8703055352880271,0.5716290768147558,break,click,0.3000000000000001,0.4473339474617945,0.3,0.8380814002306426
27,634.0254954768227,76.88428104667427,0.6909672569724795,0.7682142110557522,-0.4014915010839531,0.9043056815041778,0.2,0.7682142110557522,0.8301945335251878,0.6206837349719619,break,click,0.3039202388700846,0.3220294467408729,0.3,0.6759829979698473
28,652.8253956314145,255.32050492447078,0.9184307583751297,0.7701072208519381,0.010151799287401175,0.7648924391079062,0.2,0.7701072208519381,0.7427194178045816,0.6510947607801617,break,click,0.3059290296326915,0.32392165783321,0.3,0.5709155274598589
29,671.312397519421,227.18664851355788,0.8644851897633695,0.7600599519038167,-0.05388131532830587,0.7375982272903027,0.2,0.7600599519038167,0.7729151366126771,0.6999726821158894,break,click,0.3029264872266112,0.2476856614157271,0.3,0.45380789632953245
30,693.5679096907253,134.79806606599357,0.8509388728023809,0.7290885408077294,-0.16609293292013427,0.5454634342582622,0.2,0.7290885408077294,0.6420559590753521,0.7364667172432442,break,click,0.3005785957056817,0.2034384925807213,0.3,0.376476124635287
31,703.8615629934006,0.0,0.9102726162610542,0.6780045658922137,-0.27395223267720237,0.4033772684159611,0.2,0.6780045658922137,0.5664072608254622,0.7526235650126955,break,click,0.3000033661757889,0.19935326749261081,0.3,0.3533949131430003
32,717.1815485742355,135.1352814217663,0.8852449498890811,0.6656111875341888,-0.06646298917046523,0.29830271005422165,0.2,0.6656111875341888,0.4895640302626079,0.6821132337949614,break,click,0.3812890901617365,0.25162916858356255,0.3,0.4541239594551687
33,750.0787914113539,310.0563792079021,0.8933731952763424,0.6970586483907264,0.16864588411386006,0.6655573492610452,0.2,0.6970586483907264,0.4409398215455632,0.5825786571420546,break,click,0.30000096628294926,0.33235641153114853,0.3,0.5963162142379838
34,766.3111740926411,184.81575126111525,0.6559412105624989,0.6713129909630565,-0.13806835403308293,0.9043056815041778,0.2,0.6713129909630565,0.8245630591469479,0.7704064983422647,break,click,0.3094078616225396,0.16332098460197841,0.3,0.35322078473719243
35,785.0038095953435,96.29460756027524,0.8374467040022103,0.6466576210532792,-0.13222137951160728,0.6687457539921505,0.2,0.6466576210532792,0.7233236710710695,0.7740210765499067,break,click,0.3008474689660395,0.201489856237928,0.3,0.37663156153247923
36,798.1928242030374,181.9696217941808,0.9197564346623281,0.654243725021532,0.04068262352061092,0.6485859485444214,0.2,0.654243725021532,0.6331287794146327,0.7491119426270595,break,click,0.319808785512912,0.24274570085386374,0.3,0.42744250867156286
37,831.3509093147563,271.4270130400008,0.9077609136497398,0.6801482820715337,0.13892049810333884,1.0,0.2,0.6801482820715337,0.8130904109761127,0.7338183158978677,break,click,0.30000427322290607,0.2791463443304643,0.3,0.4957275444001952
38,840.8052369737617,0.0,0.8072697122872999,0.6285867204961357,-0.2765134259278837,0.9043056815041778,0.2,0.6285867204961357,0.872971688105255,0.6917979421703184,break,click,0.30000003782460327,0.3309595648382785,0.3,0.6329213507501946
39,871.1222503374422,316.6538829151527,0.8088750409724887,0.6605977450763506,0.17166815363404941,1.0,0.2,0.6605977450763506,0.7175112115281205,0.6262518823600219,break,click,0.3000031729878111,0.44782040646731197,0.3,0.8553536289732122
40,876.9101557237763,207.3288901427685,0.7586936452655559,0.6564786500176908,-0.02208980976511199,0.9043056815041778,0.2,0.6564786500176908,0.8598718806292017,0.590487937561335,break,click,4.9395533375462035,0.5034774581062225,0.3,1.0
41,887.564210044683,2815.829457630066,0.9239193202606005,0.7205352041619955,0.3435213499823092,1.0,0.2,0.7205352041619955,0.7533617145275174,0.539793089920872,break,click,0.6086903299354618,0.5695677281042402,0.3,1.0
42,897.2844956619293,2345.6100877886697,0.8722830466984007,0.7726471087843606,0.27946479583800454,1.0,0.2,0.7726471087843606,0.8945576625296936,0.5655242061755371,break,click,9.131578532832535,0.5489132186793604,0.3,1.0
43,933.4080221668767,830.4837014152343,0.6815423753766896,0.8150416871323114,0.2273528912156394,1.0,0.2,0.8150416871323114,0.8376954717115969,0.6098379989299251,break,click,0.3000006811833877,0.47261695015067584,0.3,1.0
44,978.108893655933,308.71881330945644,0.9683972527144149,0.8253078985032409,0.05505545586171667,1.0,0.2,0.8253078985032409,0.9250898433019866,0.6789786656869145,break,click,0.3000000137629898,0.5292216664619023,0.3,0.9010192328465717
45,994.7907562796039,143.86882652986853,0.9258033937082943,0.7912639711508096,-0.1825701684867581,0.9043056815041778,0.2,0.7912639711508096,0.9139672734330784,0.7258746554328336,break,click,0.3044929587216386,0.3848008401261963,0.3,0.6747088024622189
46,1013.9032854303132,219.75113638187133,0.9714219669303179,0.7855087370369925,-0.030864067208311474,0.6687457539921505,0.2,0.7855087370369925,0.7719784566971671,0.753266333093343,break,click,0.30075493248867163,0.31826408493613684,0.3,0.5407423772531066
47,1029.3153873268682,194.6522297955071,0.9294740071837979,0.7710654046498303,-0.07745644620070968,0.49454613924203666,0.2,0.7710654046498303,0.6445218095353319,0.7898428133721516,break,click,0.3111746897005087,0.2373470254624337,0.3,0.415095035428504
48,1037.7030182987805,71.53390534338284,0.8606609937552203,0.7242021319058873,-0.2513175260929916,0.3657232698363789,0.2,0.7242021319058873,0.5389757217421253,0.7787740745121544,break,click,0.33050784091600854,0.2164447667732109,0.3,0.3976831256400166
49,1049.0472426053561,105.78070104841174,0.918944852269673,0.6994940934488784,-0.13250382946053607,0.2704570908283893,0.2,0.6994940934488784,0.4935631409584151,0.7262240797745257,break,click,0.3014717028259258,0.25629642016269344,0.3,0.45156163002518135
50,1125.7778017458315,304.96324101014557,0.8937898783150706,0.7234750965116911,0.12860489697133892,0.5426836037430451,0.2,0.7234750965116911,0.439693381861316,0.6112045324670821,break,click,0.30000000000000177,0.3302818581737246,0.3,0.5924168759443798
51,1137.5327611652165,153.12685784619865,0.8321361468655757,0.7018448221696142,-0.11599845077115489,0.9043056815041778,0.2,0.7018448221696142,0.8913363181984072,0.8901389159905321,break,click,0.3436360027484863,0.09655488896305355,0.3,0.18120311724563687
52,1148.3545350340496,110.88755083452817,0.909433878422357,0.6816093474001398,-0.10851844441527547,0.6687457539921505,0.2,0.6816093474001398,0.7586687710664681,0.8594257848519318,break,click,0.4057585905258932,0.14246609093811047,0.3,0.25270091261318905
53,1158.6636498377,116.40184660423886,0.9601403455702991,0.6711601320479307,-0.05603686635969163,0.49454613924203666,0.2,0.6711601320479307,0.6587013869625318,0.8352200881140112,break,click,0.3889255905980966,0.16828055440693657,0.3,0.2881239377390291
54,1174.9715575796445,183.95983393282862,0.9505806206750613,0.677515036885299,0.03407997070563573,0.4896243125846591,0.2,0.677515036885299,0.5707422862073677,0.8339291820152328,break,click,0.31138068145531766,0.15958529970157279,0.3,0.27503693594656264
55,1183.3766089139147,71.38564372041454,0.9611358358447664,0.6574293687029875,-0.10771506431239763,0.5968636033458963,0.2,0.6574293687029875,0.727872715516675,0.8883131039184212,break,click,0.3996096309340601,0.10444938370030021,0.3,0.1787126513804106
56,1217.832364516494,52.240909204303115,0.8194843740211931,0.6234197748908734,-0.18238604518701207,0.44138835862017,0.2,0.6234197748908734,0.5825319227835742,0.827689381525428,break,click,0.3000004736869789,0.15009119550074115,0.3,0.28437471192502817
57,1224.7469758722534,86.77277277489024,0.9207778464873,0.6132450403247985,-0.05456488567861062,0.3264124031575485,0.2,0.6132450403247985,0.5379104242433005,0.7649471003383632,break,click,0.35814307944070206,0.21682669385994277,0.3,0.3815281438896664
58,1240.096222734698,39.08986580104076,0.910751468097615,0.5929184692570062,-0.10900697402469006,0.24138619620181623,0.2,0.5929184692570062,0.47874436033981504,0.6545041123135082,break,click,0.30541409693638827,0.2970698841290535,0.3,0.5264390837913665
